"","Player's name","Total Points","Total Rebounds","Assists","Steals","Blocks","Missed Field goals","Missed Free Throws","Turnovers","Games Played","Efficiency Index","Salary","Position"
"403","John Wall",1531,379,789,145,59,777,72,318,77,10.0450454663335,15851950,"PG"
"404","Ramon Sessions",810,203,239,46,5,312,69,115,82,3.84942384126543,2170465,"PG"
"405","Brandon Jennings",175,50,100,18,5,102,10,35,25,3.71353450144646,8344497,"PG"
"406","C.J. Watson",142,66,88,19,5,90,5,25,33,2.55423879725949,5000000,"PG"
"407","Elfrid Payton",778,261,468,89,20,412,78,177,73,6.26984642379439,2505720,"PG"
"408","Keith Appling",6,1,1,1,0,6,0,3,5,0.685651155667331,161776,"PG"
"409","Shabazz Napier",203,55,97,23,1,133,12,46,55,1.8776231462518,1294440,"PG"
"410","Giannis Antetokounmpo",1350,612,345,94,113,500,113,208,80,9.31189749608918,1953960,"PG"
"411","Greivis Vasquez",130,47,91,10,0,93,4,40,23,3.12214486347013,6600000,"PG"
"412","Michael Carter-Williams",623,276,281,80,41,304,56,153,54,7.50147371422677,2399040,"PG"
"413","Tyler Ennis",206,75,95,25,1,103,9,46,46,2.23935596890903,1662360,"PG"
"414","Jerian Grant",426,143,177,50,10,237,27,87,76,2.94115793458404,1572360,"PG"
"415","Jose Calderon",544,229,299,63,7,246,6,87,72,3.61612165793221,7402812,"PG"
"416","Langston Galloway",625,288,207,77,22,357,28,61,82,3.88496996434635,845059,"PG"
"417","Donald Sloan",424,173,268,32,4,196,26,80,61,3.53241331985978,1015421,"PG"
"418","Jarrett Jack",411,136,236,34,7,218,12,94,32,6.35891385845229,6300000,"PG"
"419","Shane Larkin",566,180,342,95,12,280,24,146,78,4.17548919851919,1500000,"PG"
"420","Ish Smith",733,213,348,64,18,440,44,130,50,7.28563362836791,1100602,"PG"
"421","Kendall Marshall",111,28,73,16,2,75,4,43,30,2.28390798522361,2144722,"PG"
"422","Phil Pressey",55,23,46,11,1,34,9,19,14,3.13971613687446,172739,"PG"
"423","T.J. McConnell",493,250,367,95,10,246,15,140,81,4.02482670056915,525093,"PG"
"424","Tony Wroten",67,21,20,3,0,43,17,29,8,5.60865964121254,2179354,"PG"
"425","Shaun Livingston",488,169,237,57,27,176,13,78,78,3.18162009466496,5543725,"PG"
"426","Stephen Curry",2375,430,527,169,15,793,37,262,79,8.92638118038752,11370786,"PG"
"427","Andre Miller",56,27,29,7,0,25,4,12,13,2.34765599221971,396844,"PG"
"428","Patrick Mills",690,158,226,59,6,352,11,76,81,3.09037211079864,3578947,"PG"
"429","Ray McCallum",68,31,33,5,4,40,1,11,31,1.17439603094104,947276,"PG"
"430","Tony Parker",857,176,379,54,11,360,41,131,72,4.69006794510018,13437500,"PG"
